Reference Company,Security Description,Trade Date,Ask,Bid,Close
AUD10P2M=R,Australian Dollar/US Dollar 2 Month 10 Delta Put,12/22/20,12.494,11.544,12.019
AUD10P2M=R,Australian Dollar/US Dollar 2 Month 10 Delta Put,12/23/20,12.255,11.305,11.78
AUD10P2M=R,Australian Dollar/US Dollar 2 Month 10 Delta Put,12/24/20,12.055,11.105,11.58
AUD10P2M=R,Australian Dollar/US Dollar 2 Month 10 Delta Put,12/25/20,12.136,11.186,11.661
AUD10P2M=R,Australian Dollar/US Dollar 2 Month 10 Delta Put,12/28/20,12.169,11.219,11.694
AUD10P2M=R,Australian Dollar/US Dollar 2 Month 10 Delta Put,12/29/20,12.372,11.422,11.897
AUD10P2M=R,Australian Dollar/US Dollar 2 Month 10 Delta Put,12/30/20,12.472,11.522,11.997
AUD10P3M=R,Australian Dollar/US Dollar 3 Month 10 Delta Put,11/30/20,12.146,10.596,11.371
AUD10P3M=R,Australian Dollar/US Dollar 3 Month 10 Delta Put,12/1/20,11.802,10.802,11.302
AUD10P3M=R,Australian Dollar/US Dollar 3 Month 10 Delta Put,12/2/20,11.843,10.843,11.343
AUD10P3M=R,Australian Dollar/US Dollar 3 Month 10 Delta Put,12/3/20,11.874,10.874,11.374
AUD10P3M=R,Australian Dollar/US Dollar 3 Month 10 Delta Put,12/4/20,11.85,10.85,11.35
AUD10P3M=R,Australian Dollar/US Dollar 3 Month 10 Delta Put,12/7/20,12.411,10.761,11.586
AUD10P3M=R,Australian Dollar/US Dollar 3 Month 10 Delta Put,12/8/20,11.835,10.835,11.335
AUD10P3M=R,Australian Dollar/US Dollar 3 Month 10 Delta Put,12/9/20,11.824,10.824,11.324
AUD10P3M=R,Australian Dollar/US Dollar 3 Month 10 Delta Put,12/10/20,11.952,10.952,11.452
AUD10P3M=R,Australian Dollar/US Dollar 3 Month 10 Delta Put,12/11/20,12.257,11.257,11.757
AUD10P3M=R,Australian Dollar/US Dollar 3 Month 10 Delta Put,12/14/20,12.272,11.272,11.772
AUD10P3M=R,Australian Dollar/US Dollar 3 Month 10 Delta Put,12/15/20,12.257,11.257,11.757
